Division,Group,Field,Description
Physical Sciences,"Atomic, molecular and optical physics",510299,"Atomic, molecular and optical physics not elsewhere classified"
Physical Sciences,Classical physics,510301,Acoustics and acoustical devices; waves
Physical Sciences,Classical physics,510302,Classical and physical optics
Physical Sciences,Classical physics,510303,Electrostatics and electrodynamics
Physical Sciences,Classical physics,510304,Thermodynamics and statistical physics
Physical Sciences,Classical physics,510399,Classical physics not elsewhere classified
Physical Sciences,Condensed matter physics,510401,Condensed matter characterisation technique development
Physical Sciences,Condensed matter physics,510402,Condensed matter imaging
Physical Sciences,Condensed matter physics,510403,Condensed matter modelling and density functional theory
Physical Sciences,Condensed matter physics,510404,Electronic and magnetic properties of condensed matter; superconductivity
Physical Sciences,Condensed matter physics,510405,Soft condensed matter
Physical Sciences,Condensed matter physics,510406,Structural properties of condensed matter
Physical Sciences,Condensed matter physics,510407,Surface properties of condensed matter
Physical Sciences,Condensed matter physics,510499,Condensed matter physics not elsewhere classified
Physical Sciences,Medical and biological physics,510501,Biological physics
Physical Sciences,Medical and biological physics,510502,Medical physics
Physical Sciences,Medical and biological physics,510599,Medical and biological physics not elsewhere classified
Physical Sciences,Nuclear and plasma physics,510601,Nuclear physics
Physical Sciences,Nuclear and plasma physics,510602,Plasma physics; fusion plasmas; electrical discharges
Physical Sciences,Nuclear and plasma physics,510699,Nuclear and plasma physics not elsewhere classified
Physical Sciences,Particle and high energy physics,510701,Astroparticle physics and particle cosmology
Physical Sciences,Particle and high energy physics,510702,Field theory and string theory
Physical Sciences,Particle and high energy physics,510703,Particle physics
Physical Sciences,Particle and high energy physics,510799,Particle and high energy physics not elsewhere classified
Physical Sciences,Quantum physics,510801,Degenerate quantum gases and atom optics
Physical Sciences,Quantum physics,510802,Foundations of quantum mechanics
Physical Sciences,Quantum physics,510803,"Quantum information, computation and communication"
Physical Sciences,Quantum physics,510804,Quantum optics and quantum optomechanics
Physical Sciences,Quantum physics,510805,Quantum technologies
Physical Sciences,Quantum physics,510899,Quantum physics not elsewhere classified
Physical Sciences,Space sciences,510901,Astrodynamics and space situational awareness
Physical Sciences,Space sciences,510902,Heliophysics and space weather
Physical Sciences,Space sciences,510903,"Mesospheric, thermospheric, ionospheric and magnetospheric physics"
Physical Sciences,Space sciences,510904,Solar system energetic particles
Physical Sciences,Space sciences,510905,Solar system planetary science (excl. planetary geology)
Physical Sciences,Space sciences,510906,Space instrumentation
Physical Sciences,Space sciences,510999,Space sciences not elsewhere classified
Physical Sciences,Synchrotrons and accelerators,511001,Accelerators
Physical Sciences,Synchrotrons and accelerators,511002,Instruments and techniques
Physical Sciences,Synchrotrons and accelerators,511003,Synchrotrons
Physical Sciences,Synchrotrons and accelerators,511099,Synchrotrons and accelerators not elsewhere classified
Physical Sciences,Other physical sciences,519901,Complex physical systems
Physical Sciences,Other physical sciences,519999,Other physical sciences not elsewhere classified
Psychology,Applied and developmental psychology,520101,Child and adolescent development
Psychology,Applied and developmental psychology,520102,Educational psychology
Psychology,Applied and developmental psychology,520103,Forensic psychology
Psychology,Applied and developmental psychology,520104,Industrial and organisational psychology (incl. human factors)
Psychology,Applied and developmental psychology,520105,"Psychological methodology, design and analysis"
Psychology,Applied and developmental psychology,520106,Psychology of ageing
Psychology,Applied and developmental psychology,520107,Sport and exercise psychology
Psychology,Applied and developmental psychology,520108,"Testing, assessment and psychometrics"
Psychology,Applied and developmental psychology,520199,Applied and developmental psychology not elsewhere classified
Psychology,Biological psychology,520201,Behavioural genetics
Psychology,Biological psychology,520202,Behavioural neuroscience
Psychology,Biological psychology,520203,Cognitive neuroscience
Psychology,Biological psychology,520204,Evolutionary psychological studies
Psychology,Biological psychology,520205,Psychopharmacology
Psychology,Biological psychology,520206,Psychophysiology
